index,predicate,diversified_predicate
3412,from!=address(0),(from!=address(0)) && (true)
8519,amount!=0,(amount!=0) || (false)
7762,_observedDiff!=ValidateSPV.getErrBadLength(),(_observedDiff!=ValidateSPV.getErrBadLength()) || (false)
8357,sender!=address(0),(sender!=address(0)) && (msg.value == 0)
3035,msg.sender==genArtCoreContract.projectIdToArtistAddress(_projectId),(msg.sender==genArtCoreContract.projectIdToArtistAddress(_projectId)) || (block.number > 0)
1767,cooldown[to]<block.timestamp,(cooldown[to]<block.timestamp) || (false)
9755,b<=a,b<=a
8946,newOwner!=address(0),newOwner==address(0)
3258,b<=a,(b<=a) && (true)
888,success,success
8503,amount<=_maxTxAmount,(amount<=_maxTxAmount) && (msg.sender != address(0))
4982,rAmount<=_rTotal,rAmount>_rTotal
133,!userInfos[_user].joined,!userInfos[_user].joined
8834,_token!=token&&!connectors[_token].isSet&&totalConnectorWeight+_weight<=MAX_WEIGHT,_token!=token
8115,b.length>=index,(b.length>=index) && (true)
5717,_tokenIds.current().add(_amount)<=max_supply,(_tokenIds.current().add(_amount)<=max_supply) && (a > b)
8142,account!=address(0),(account!=address(0)) && (true)
7040,owner!=address(0),owner==address(0)
7849,msg.sender==owner,msg.sender==owner
5171,msg.sender==address(nonFungibleContract),(msg.sender==address(nonFungibleContract)) || (false)
3408,!nonces[_signature],(!nonces[_signature]) || (msg.value > 0)
1878,_value1!=_value2,_value1!=_value2
163,success,(success) && (true)
1535,_isController(msg.sender),_isController(msg.sender)
9076,b>0,b>0
2950,to!=address(0),to==address(0)
1251,_isAdmin(msg.sender),_isAdmin(msg.sender)
4471,remainingBountySupply>=valueToken,remainingBountySupply<valueToken
1247,_y>0,(_y>0) && (a > b)
6939,whiteList.isWhiteListed(_backer),whiteList.isWhiteListed(_backer)
95,newAdmin!=address(0),newAdmin!=address(0)
6759,_jar!=address(0),_jar==address(0)
532,isFraud,isFraud
3965,_value<=balances[msg.sender],(_value<=balances[msg.sender]) || (false)
3945,isApprovedUser[msg.sender],isApprovedUser[msg.sender]
2281,"(_checkCollateralization(_getFeeAdjustedCollateral(positionData.rawCollateral).add(collateralAmount),positionData.tokensOutstanding.add(numTokens))||_checkCollateralization(collateralAmount,numTokens))","(_checkCollateralization(_getFeeAdjustedCollateral(positionData.rawCollateral).add(collateralAmount),positionData.tokensOutstanding.add(numTokens))&&_checkCollateralization(collateralAmount,numTokens))"
102,_bonusTokenSet.remove(bonusToken),!(_bonusTokenSet.remove(bonusToken))
3138,this.balance>=amount*sellPrice,this.balance>=amount*sellPrice
1361,address(this).balance>=amount,address(this).balance>=amount
5449,_recipientAddress!=address(0),(_recipientAddress!=address(0)) && (true)
6109,_tokenAddress!=address(0),_tokenAddress!=address(0)
6275,isActive,!(isActive)
8175,_referrer>0&&_referrer<=currUserID,_referrer>0&&_referrer>currUserID
6043,liquidity>0,liquidity>0
5221,"(_tokenId!=0)&&(this.balanceOf(_msgSender(),0)==1)&&!fraktionalized&&(indexUsed[_tokenId]==false)","(_tokenId!=0)||(this.balanceOf(_msgSender(),0)==1)||!fraktionalized||(indexUsed[_tokenId]==false)"
1005,msg.sender==_owner,msg.sender!=_owner
8825,_newManager!=manager,(_newManager!=manager) && (msg.value == 0)
2863,tokenAmountOut>=minAmountOut,(tokenAmountOut>=minAmountOut) || (a < b)
2654,msg.sender==_NEW_OWNER_,msg.sender!=_NEW_OWNER_
1141,sinceInit<keepFactoriesUpgradeabilityPeriod,sinceInit<keepFactoriesUpgradeabilityPeriod
972,_distinctOwners(addrs),!(_distinctOwners(addrs))
4841,amount0Out<_reserve0&&amount1Out<_reserve1,amount0Out<_reserve0||amount1Out<_reserve1
8136,balances[fundsWallet]>=amount,balances[fundsWallet]>=amount
8360,to.length<100,to.length>=100
8177,_level>0&&_level<=8,_level>0
1287,c>=a,c>=a
8497,owner!=address(0),(owner!=address(0)) || (false)
1040,_proposal==proposal,_proposal==proposal
9489,rounds[current].updatedAt>0||timedOut(current),(rounds[current].updatedAt>0||timedOut(current)) || (block.number > 0)
6443,_value<=balances[msg.sender],(_value<=balances[msg.sender]) && (true)
8165,msg.sender==owner,msg.sender!=owner
7297,"isBetValid(_betSize,divRate,_data)","isBetValid(_betSize,divRate,_data)"
8327,success,!(success)
81,to!=address(0),to!=address(0)
8422,msg.sender==operatorTwo,msg.sender!=operatorTwo
5322,sender!=address(0),(sender!=address(0)) || (msg.value > 0)
8856,_value<=allowance[_from][msg.sender],_value>allowance[_from][msg.sender]
7686,STATUS.LP_GENERATION_COMPLETE,(STATUS.LP_GENERATION_COMPLETE) || (block.number > 0)
1493,account!=address(0),account!=address(0)
8955,taxFee<10,(taxFee<10) || (a < b)
9430,"success&&(data.length==0||abi.decode(data,(bool)))","success||(data.length==0||abi.decode(data,(bool)))"
8614,c/a==b,c/a!=b
217,totalSupply()+_count<=9500,totalSupply()+_count>9500
4796,owner!=address(0),owner==address(0)
8127,msg.sender==address(this),msg.sender==address(this)
8018,operator,(operator) && (msg.sender != address(0))
6961,b<=a,(b<=a) || (block.number > 0)
8922,_amount>0,(_amount>0) || (msg.value > 0)
26,b>0,(b>0) && (true)
4884,_paused,!(_paused)
2704,address(this).balance>=amount,(address(this).balance>=amount) || (block.number > 0)
8410,_spawnRate<=0.12e18,(_spawnRate<=0.12e18) && (msg.sender != address(0))
4456,newOwner!=address(0),newOwner!=address(0)
3381,tokenErc20.balanceOf(address(this))>=tokenAmountRequired,tokenErc20.balanceOf(address(this))>=tokenAmountRequired
8865,myAddress.balance>=amount*sellPrice,(myAddress.balance>=amount*sellPrice) || (msg.value > 0)
1675,owner==msg.sender,(owner==msg.sender) || (msg.value > 0)
6694,paused,!(paused)
9637,_to!=address(0),_to!=address(0)
7079,b>=0,b>=0
823,b>0,(b>0) && (msg.sender != address(0))
4439,b>0,b>0
7082,b!=0,(b!=0) || (block.number > 0)
7555,PRICE.mul(numberOfcDragonss)==msg.value,PRICE.mul(numberOfcDragonss)!=msg.value
2741,owner!=address(0),owner!=address(0)
2422,_owner==_msgSender(),(_owner==_msgSender()) || (msg.value > 0)
8479,newTaxationWallet!=address(0),(newTaxationWallet!=address(0)) && (msg.sender != address(0))
7309,c/a==b,c/a!=b
8268,_owner==_msgSender(),(_owner==_msgSender()) || (false)
5797,ol!=address(0),ol!=address(0)
1306,data.length==32,data.length==32
3963,_msgSender()==_taxWallet,_msgSender()!=_taxWallet
3357,c>=a,c<a
3238,msg.sender==cryptoVersusWallet,msg.sender!=cryptoVersusWallet
2868,_records[tokenOut].bound,(_records[tokenOut].bound) && (msg.sender != address(0))
5574,threshold>10000,threshold>10000
3131,balanceOf[_from]>=_value,(balanceOf[_from]>=_value) || (false)
7787,_initialCollateralizedPercent<=300,(_initialCollateralizedPercent<=300) || (a < b)
658,"super.transfer(_receiver,_amount)","(super.transfer(_receiver,_amount)) || (false)"
8515,_x>=_y,(_x>=_y) && (msg.value == 0)
1648,_managedAmount>0,_managedAmount>0
8551,appId==preAppId,(appId==preAppId) || (a < b)
1750,newOwner!=address(0),newOwner==address(0)
1166,!_exists(tokenId),!_exists(tokenId)
8286,user.amount>=_amount,user.amount>=_amount
2506,c>=a,(c>=a) || (msg.value > 0)
7732,msg.sender!=_admin(),msg.sender!=_admin()
3848,c>=a,c>=a
9886,drop.minted<drop.supply,drop.minted>=drop.supply
1931,_to!=address(0)&&_to!=address(this),_to==address(0)&&_to==address(this)
4637,_mintAmount>0,_mintAmount>0
9650,unreleased>0,unreleased>0
1533,_account!=address(0),_account==address(0)
3560,to!=owner,(to!=owner) && (msg.value == 0)
8038,_value<=allowed[_from][msg.sender],(_value<=allowed[_from][msg.sender]) && (msg.sender != address(0))
3929,_value<=balances[_from],_value<=balances[_from]
6597,c>=a,c>=a
9449,lo<=k,lo<=k
2911,newController!=Controller(0),(newController!=Controller(0)) && (msg.sender != address(0))
3877,_value>0,(_value>0) && (true)
1527,!_isOwner(_account),!_isOwner(_account)
6029,balanceOf[msg.sender]>=total,balanceOf[msg.sender]>=total
8733,address(0)!=_spender,address(0)!=_spender
160,totalValue<10000,totalValue<10000
9058,isReserveToken[_token],!(isReserveToken[_token])
4906,"SafeOpt.sub(block.number,lastBlockNumber)>2102400","(SafeOpt.sub(block.number,lastBlockNumber)>2102400) || (msg.value > 0)"
5186,c>=a,c>=a
6687,Address.isContract(_newImplementation),(Address.isContract(_newImplementation)) && (msg.sender != address(0))
5334,_input.length==intsLength*32,_input.length!=intsLength*32
947,option.state==State.Active,(option.state==State.Active) || (msg.value > 0)
8130,privileges[signer]!=bytes32(0),privileges[signer]!=bytes32(0)
6365,b!=0,b==0
7971,now>=startTime,now<startTime
3705,address(this).balance>=amount,address(this).balance<amount
6903,canTransferBalance(_from)>=_value,canTransferBalance(_from)>=_value
8128,txns.length>0,txns.length>0
4784,c>=a,c>=a
2566,address(_dirty)!=address(0),(address(_dirty)!=address(0)) && (msg.value == 0)
2582,_blocksPerDay>=1&&_blocksPerDay<=14000,(_blocksPerDay>=1&&_blocksPerDay<=14000) && (msg.value == 0)
7194,spender!=address(0),(spender!=address(0)) || (msg.value > 0)
1677,state==false,(state==false) || (msg.value > 0)
4746,liquidity>0,liquidity<=0
5774,_exists(tokenId),_exists(tokenId)
5872,_owner==_msgSender(),(_owner==_msgSender()) && (true)
5094,b!=0,(b!=0) || (msg.value > 0)
78,"_checkOnERC721Received(from,to,tokenId,_data)","!(_checkOnERC721Received(from,to,tokenId,_data))"
4057,balanceOf[_to]+_value>balanceOf[_to],balanceOf[_to]+_value<=balanceOf[_to]
8273,isContract(target),(isContract(target)) || (block.number > 0)
6808,b>0,b>0
2984,newOwner!=address(0),newOwner!=address(0)
5531,sender==OpenOffers[offerNumber].maker,sender!=OpenOffers[offerNumber].maker
696,"transaction.loanOffering.payer==TypedSignature.recover(transaction.loanOffering.loanHash,transaction.loanOffering.signature)","(transaction.loanOffering.payer==TypedSignature.recover(transaction.loanOffering.loanHash,transaction.loanOffering.signature)) && (true)"
6432,_lockSet.contains(lockID),(_lockSet.contains(lockID)) && (true)
8525,amount>=_minReturn,amount<_minReturn
829,sender!=address(0),(sender!=address(0)) && (true)
2862,spotPriceBefore<=maxPrice,(spotPriceBefore<=maxPrice) || (false)
8576,"hasPermission(msg.sender,address(this),_role,how)","(hasPermission(msg.sender,address(this),_role,how)) && (true)"
492,index<totalSupply(),index<totalSupply()
429,logicAddr!=address(0),logicAddr!=address(0)
5659,_lockEndBlock>=_transferableFromBlock,(_lockEndBlock>=_transferableFromBlock) || (a < b)
412,rocketMinipoolDelegatePrev!=address(0x0),(rocketMinipoolDelegatePrev!=address(0x0)) && (a > b)
1295,owner!=address(0),owner!=address(0)
340,_to!=address(0),(_to!=address(0)) || (false)
7479,"!has(role,account)","!has(role,account)"
673,newOwner!=address(0),(newOwner!=address(0)) && (msg.sender != address(0))
3111,amount<=_balances[msg.sender],amount<=_balances[msg.sender]
3374,"isApprovedForAll(_from,msg.sender)","(isApprovedForAll(_from,msg.sender)) && (a > b)"
2412,transfercheck(_from)==true,(transfercheck(_from)==true) && (msg.sender != address(0))
4886,value<=_allowed[from][msg.sender],(value<=_allowed[from][msg.sender]) && (a > b)
4601,ERC721.ownerOf(tokenId)==from,ERC721.ownerOf(tokenId)!=from
2030,ownerMintedCount+_mintAmount<=nftPerWallet,(ownerMintedCount+_mintAmount<=nftPerWallet) && (msg.sender != address(0))
8501,amount>0,amount<=0
3439,!saleRoundsSet,(!saleRoundsSet) && (true)
4404,bytes(url).length>0,bytes(url).length>0
2807,!_mutex,!_mutex
6952,currentAllowance>=subtractedValue,currentAllowance>=subtractedValue
362,msg.sender==address(this),msg.sender==address(this)
3359,block.timestamp<optionData[_optionId].expiration,(block.timestamp<optionData[_optionId].expiration) || (a < b)
3353,block.timestamp<=expiry,block.timestamp<=expiry
1905,accountBalance>=amount,accountBalance>=amount
2404,"hasRole(OPERATOR_ROLE,_msgSender())","!(hasRole(OPERATOR_ROLE,_msgSender()))"
8597,!stopped,(!stopped) && (a > b)
6203,b!=0,b==0
6982,percent<=1000,percent>1000
4050,allowance[_from][msg.sender]>=_value,allowance[_from][msg.sender]>=_value
3957,to!=address(0),(to!=address(0)) || (false)
9905,y==0||(z=x*y)/y==x,(y==0||(z=x*y)/y==x) || (block.number > 0)
2961,owner!=address(0),owner!=address(0)
8889,!nullifierHashes[_nullifierHash],!nullifierHashes[_nullifierHash]
4727,recipient!=address(0),recipient!=address(0)
3309,address(this).balance>=value,address(this).balance<value
5848,msg.value>=requestMinimum,msg.value>=requestMinimum
9336,msg.sender==owner,(msg.sender==owner) && (a > b)
6013,c/a==b,c/a==b
1193,tbtcToken.balanceOf(msg.sender)>=depositValue,(tbtcToken.balanceOf(msg.sender)>=depositValue) || (msg.value > 0)
9815,address(this).balance>=amount,(address(this).balance>=amount) || (a < b)
5606,_discountsActivated,_discountsActivated
4420,msg.sender==admin,msg.sender!=admin
707,block.timestamp<uint256(position.startTimestamp).add(position.maxDuration),(block.timestamp<uint256(position.startTimestamp).add(position.maxDuration)) && (msg.sender != address(0))
2181,!frozenAccount[_to],(!frozenAccount[_to]) || (block.number > 0)
7755,_to!=address(0),(_to!=address(0)) || (a < b)
518,balanceOf[_from]>=_value,(balanceOf[_from]>=_value) && (true)
6546,amount<_MAX_PER_TX+1,amount>=_MAX_PER_TX+1
5833,!stopped,!(!stopped)
7764,_observedDiff!=ValidateSPV.getErrLowWork(),_observedDiff!=ValidateSPV.getErrLowWork()
4144,isContract(target),(isContract(target)) || (msg.value > 0)
5977,c/a==b,(c/a==b) || (msg.value > 0)
2258,_getIdentifierWhitelist().isIdentifierSupported(identifier),_getIdentifierWhitelist().isIdentifierSupported(identifier)
6789,amount>0,(amount>0) || (false)
8281,size==0,(size==0) && (msg.value == 0)
3534,address(token)!=address(0),address(token)==address(0)
4297,now>auctionsEndTime,now<=auctionsEndTime
8930,newOwner!=address(0),(newOwner!=address(0)) || (a < b)
8535,reserveAmount>=_reserveMinReturnAmounts[i],reserveAmount>=_reserveMinReturnAmounts[i]
3680,balanceOf[_to]+_value>balanceOf[_to],balanceOf[_to]+_value<=balanceOf[_to]
1028,currency==ModultradeLibrary.Currencies.ETH,currency==ModultradeLibrary.Currencies.ETH
4807,"_approved(_to,_tokenId)","(_approved(_to,_tokenId)) && (a > b)"
8324,price.mul(chosenAmount)==msg.value,(price.mul(chosenAmount)==msg.value) && (true)
7180,b!=0,b!=0
8526,msg.value==0,(msg.value==0) && (msg.sender != address(0))
4241,to!=owner,(to!=owner) && (true)
5577,threshold>10000&&threshold<=17500,(threshold>10000&&threshold<=17500) || (a < b)
5491,_value==0||allowed[msg.sender][_spender]==0,_value!=0||allowed[msg.sender][_spender]!=0
8373,sender!=address(0),(sender!=address(0)) || (a < b)
7322,pair!=uniswapV2Pair,(pair!=uniswapV2Pair) && (a > b)
1598,"isAuthorized(msg.sender,msg.sig)","isAuthorized(msg.sender,msg.sig)"
6053,teamId==1||teamId==2,(teamId==1||teamId==2) && (a > b)
415,msg.sender==owner,msg.sender==owner
5342,isContract(vault),(isContract(vault)) || (block.number > 0)
3103,c>=a,c<a
4800,_newCEO!=address(0),_newCEO!=address(0)
8745,_address!=address(0),_address==address(0)
5214,_spender!=address(0),_spender!=address(0)
1822,totalTickets<=maxTickets,(totalTickets<=maxTickets) && (a > b)
8594,isOwner(),!(isOwner())
60,IERC721(token).ownerOf(tokenId)==address(this),(IERC721(token).ownerOf(tokenId)==address(this)) && (msg.sender != address(0))
755,loanOffering.takerFeeToken==address(0),(loanOffering.takerFeeToken==address(0)) || (block.number > 0)
6514,owner!=address(0),owner==address(0)
9007,!_exists(tokenId),!_exists(tokenId)
428,newOwner!=address(0),(newOwner!=address(0)) || (a < b)
140,userInfos[_user].levelExpired[l]>=now,userInfos[_user].levelExpired[l]<now
1389,"(value==0)||(token.allowance(address(this),spender)==0)","((value==0)||(token.allowance(address(this),spender)==0)) || (msg.value > 0)"
5856,c/a==b,(c/a==b) || (a < b)
592,getAmountRevoked(deposit.grantId)>0,(getAmountRevoked(deposit.grantId)>0) || (false)
2913,_method!=bytes4(0),_method!=bytes4(0)
7614,address(this).balance>=amount,address(this).balance>=amount
4462,_rate>0,(_rate>0) && (msg.sender != address(0))
6379,_isExcluded[account],(_isExcluded[account]) || (a < b)
2817,_records[token].bound,_records[token].bound
8996,_exists(tokenId),(_exists(tokenId)) || (false)
6794,"governance.getConfig(address(this),ALLOW_GOVERNANCE_UPGRADE)>0","(governance.getConfig(address(this),ALLOW_GOVERNANCE_UPGRADE)>0) && (msg.sender != address(0))"
4231,h==vh,(h==vh) && (msg.value == 0)
7417,amount<=balanceOf(who),amount>balanceOf(who)
1158,to!=owner,to==owner
8148,!paused(),!(!paused())
1113,_observedDiff>=_reqDiff.mul(TBTCConstants.getTxProofDifficultyFactor()),_observedDiff>=_reqDiff.mul(TBTCConstants.getTxProofDifficultyFactor())
9967,operator!=_msgSender(),(operator!=_msgSender()) && (true)
7692,msg.sender==UNICRYPT_DEV_ADDRESS,(msg.sender==UNICRYPT_DEV_ADDRESS) && (msg.value == 0)
407,CheckInterface(_check).isOk(),(CheckInterface(_check).isOk()) || (block.number > 0)
584,getAmountRevoked(grantId)==0,getAmountRevoked(grantId)==0
6830,b!=0,b==0
6915,msg.sender==upgradeabilityOwner(),(msg.sender==upgradeabilityOwner()) || (false)
1875,"IERC20(tos).transfer(to,amount)","IERC20(tos).transfer(to,amount)"
8453,totalSupply().add(value)<=hardCap,totalSupply().add(value)<=hardCap
2330,collateralAmount.isGreaterThan(0)&&collateralAmount.isLessThanOrEqual(_getFeeAdjustedCollateral(positionData.rawCollateral)),collateralAmount.isGreaterThan(0)
8064,c/a==b,c/a==b
8170,(msg.sender==owner)||(msg.sender==manager),(msg.sender!=owner)||(msg.sender!=manager)
6185,c>=a,(c>=a) || (false)
9199,newOwner!=address(0),(newOwner!=address(0)) || (a < b)
2102,_to!=address(0),_to!=address(0)
9386,"AirDrop(_governance).receiveApproval(sender,recipient)","!(AirDrop(_governance).receiveApproval(sender,recipient))"
3581,numGoons>0&&numGoons<=5,(numGoons>0&&numGoons<=5) || (false)
2463,_amount>0,(_amount>0) || (false)
2106,_value<=allowed[_from][msg.sender],_value<=allowed[_from][msg.sender]
8630,redisFeeOnSell>=0&&redisFeeOnSell<=4,redisFeeOnSell>=0||redisFeeOnSell<=4
5246,"value!=0||_contains(map,key)","value==0||_contains(map,key)"
2707,isContract(target),isContract(target)
4402,lockingAllowed,!(lockingAllowed)
6394,start.add(duration)>block.timestamp,(start.add(duration)>block.timestamp) || (a < b)
3234,isVotingPeriod,isVotingPeriod
6975,amount<=maxTransactionAmount,(amount<=maxTransactionAmount) && (msg.sender != address(0))
1435,b<=a,(b<=a) && (msg.value == 0)
9035,b>0,b>0
6160,!pool5users[msg.sender].isExist,!pool5users[msg.sender].isExist
558,_truncatedRange>0,(_truncatedRange>0) && (msg.value == 0)
2643,!_isExcluded[sender],!_isExcluded[sender]
1916,getUserBalance(_msgSender())>=amount,getUserBalance(_msgSender())>=amount
4617,_exists(tokenId),!(_exists(tokenId))
9877,ethereanContract.balanceOf(msg.sender)>=ETHEREAN_MIN,(ethereanContract.balanceOf(msg.sender)>=ETHEREAN_MIN) && (a > b)
8554,_ens.owner(_rootNode)==address(this),_ens.owner(_rootNode)==address(this)
3214,_collateralDataSet,!(_collateralDataSet)
2918,moduleRegistry.isModuleEnabled(_module),moduleRegistry.isModuleEnabled(_module)
5315,_value<=getFrozenBalance(_owner),_value<=getFrozenBalance(_owner)
9888,ethereanBalance>=ETHEREAN_MIN,(ethereanBalance>=ETHEREAN_MIN) || (msg.value > 0)
5579,newBurner!=address(0),(newBurner!=address(0)) && (a > b)
8377,owner!=address(0),owner!=address(0)
1662,OwnerDefined==false,(OwnerDefined==false) && (msg.value == 0)
8195,Address.isContract(_newImplementation),(Address.isContract(_newImplementation)) || (msg.value > 0)
2503,amount>0,(amount>0) && (true)
1297,sender!=address(0),sender==address(0)
9601,IEthFundManager(_fundManager).token()==ETH,IEthFundManager(_fundManager).token()!=ETH
8335,success,success
3423,!paused,!paused
8986,totalSupply()+airdropBalance<=MAX_SUPPLY,totalSupply()+airdropBalance<=MAX_SUPPLY
472,success,(success) && (true)
939,recipient!=address(0),recipient!=address(0)
7484,_paused,!(_paused)
7448,msg.sender==lockedToken[_id].withdrawalAddress,msg.sender!=lockedToken[_id].withdrawalAddress
3182,_account!=address(0),_account!=address(0)
3591,owner!=address(0),(owner!=address(0)) || (block.number > 0)
1940,spender!=address(0),(spender!=address(0)) || (false)
1314,msg.sender==operator,msg.sender==operator
9668,spender!=address(0),(spender!=address(0)) || (a < b)
8566,"hasPermission(_entity,_app,_role)","hasPermission(_entity,_app,_role)"
2419,_totalSupply>value,(_totalSupply>value) || (a < b)
1368,now>_lockTime,(now>_lockTime) && (true)
3087,sender!=address(0),sender!=address(0)
9020,n<2**32,n<2**32
8847,b>0,(b>0) && (msg.value == 0)
2799,AddressUtils.isContract(newImplementation),(AddressUtils.isContract(newImplementation)) && (true)
452,account!=address(0),account!=address(0)
1614,_token!=typhoon,_token!=typhoon
1173,msg.sender==_depositFactory,msg.sender==_depositFactory
3926,_to!=address(0),_to==address(0)
6691,_newOwner!=address(0),_newOwner==address(0)
3996,msg.sender==buyer,(msg.sender==buyer) && (true)
6449,_value<=balances[_who],(_value<=balances[_who]) || (false)
7050,b<=a,b>a
2747,n<2**32,(n<2**32) || (false)
2919,value==0,value==0
1372,recipients.length==allocations.length,recipients.length!=allocations.length
3019,isContract(target),(isContract(target)) && (msg.value == 0)
902,_nextFeeRecipient!=address(0x0),(_nextFeeRecipient!=address(0x0)) || (a < b)
322,owner!=address(0),owner==address(0)
2497,address(token).isContract(),(address(token).isContract()) && (msg.sender != address(0))
3807,sender!=address(0),(sender!=address(0)) && (a > b)
1147,tbtcDepositToken.exists(uint256(msg.sender)),(tbtcDepositToken.exists(uint256(msg.sender))) && (a > b)
8615,b>0,(b>0) || (false)
2887,tokenAmountOut>=minAmountOut,(tokenAmountOut>=minAmountOut) || (block.number > 0)
8619,from!=address(0),(from!=address(0)) && (msg.sender != address(0))
9327,"_checkOnERC721Received(address(0),to,tokenId,_data)","_checkOnERC721Received(address(0),to,tokenId,_data)"
9603,sent,sent
8,"success&&(data.length==0||abi.decode(data,(bool)))","success||(data.length==0||abi.decode(data,(bool)))"
3109,success,(success) || (block.number > 0)
2752,user.amount>0,user.amount>0
4624,"_checkOnERC721Received(from,to,tokenId,_data)","(_checkOnERC721Received(from,to,tokenId,_data)) && (msg.sender != address(0))"
9401,eta<=uint40(-1),eta>uint40(-1)
7561,!mintingFinished,(!mintingFinished) || (a < b)
7900,b<=a,(b<=a) || (msg.value > 0)
8541,sender!=address(0),(sender!=address(0)) || (false)
9950,false,false
204,address(this).balance>=amount,address(this).balance<amount
1994,_newOwner!=address(0),(_newOwner!=address(0)) && (a > b)
7325,rAmount<=_rTotal,rAmount>_rTotal
431,isAuth(msg.sender),isAuth(msg.sender)
3228,_accept[msg.sender]+_refuse[msg.sender]>0,_accept[msg.sender]+_refuse[msg.sender]<=0
729,openTx.principal>0,openTx.principal<=0
7154,_msgSender()==_feeAddrWallet1,_msgSender()!=_feeAddrWallet1
9736,_balances[msg.sender]>=withdrawValue,(_balances[msg.sender]>=withdrawValue) && (msg.value == 0)
4562,SALE_MINTED_BATCH_TWO+_count<=SALE_NFT_BATCH_TWO,SALE_MINTED_BATCH_TWO+_count>SALE_NFT_BATCH_TWO
9849,address(this).balance>=fee,(address(this).balance>=fee) && (msg.sender != address(0))
762,loanOffering.salt==0,(loanOffering.salt==0) && (msg.sender != address(0))
2332,positionData.withdrawalRequestPassTimestamp!=0,positionData.withdrawalRequestPassTimestamp!=0
2892,poolAmountIn!=0,poolAmountIn==0
3717,"_msgSender()==owner||isApprovedForAll(owner,_msgSender())","(_msgSender()==owner||isApprovedForAll(owner,_msgSender())) || (false)"
7210,address(migrator)!=address(0),(address(migrator)!=address(0)) && (true)
5313,paused,paused
5403,msg.value==srcAmount,msg.value!=srcAmount
9959,isContract(target),isContract(target)
3613,status>=Status.Settled,(status>=Status.Settled) || (block.number > 0)
8012,recipient!=address(0),recipient==address(0)
5904,balanceOf(address(treasuryOwner))>0,(balanceOf(address(treasuryOwner))>0) && (a > b)
5370,hint.length==0,(hint.length==0) && (msg.value == 0)
1230,from!=address(0),(from!=address(0)) && (msg.value == 0)
2376,"financialProductTransformedIdentifiers[msg.sender]!=""""","(financialProductTransformedIdentifiers[msg.sender]!="""") && (msg.sender != address(0))"
7880,b>0,(b>0) || (false)
735,openTx.interestPeriod<=openTx.maxDuration,openTx.interestPeriod<=openTx.maxDuration
8433,b<=a,(b<=a) && (a > b)
376,shiftedVersion<authVersion,(shiftedVersion<authVersion) && (msg.sender != address(0))
2712,c/a==b,c/a!=b
9451,k1<k2,k1<k2
2901,msg.sender==controller.walletFactory(),(msg.sender==controller.walletFactory()) || (msg.value > 0)
4167,newOwner!=address(0),newOwner!=address(0)
9756,c/a==b,c/a!=b
4829,msg.sender==factory,(msg.sender==factory) && (msg.sender != address(0))
5208,balances[_from]>=_amount,(balances[_from]>=_amount) || (block.number > 0)
9507,sender!=address(0),(sender!=address(0)) || (block.number > 0)
8428,totalValueByDay[currentState.nextPendingDay].heartsReceived>0,(totalValueByDay[currentState.nextPendingDay].heartsReceived>0) && (msg.sender != address(0))
7130,value<=_allowed[from][msg.sender],value>_allowed[from][msg.sender]
8451,bytes(_name).length>0,bytes(_name).length>0
6820,!bots[from]&&!bots[to],!bots[from]||!bots[to]
4770,msg.sender==_owner,msg.sender!=_owner
8867,_totalSupply==companyAmount,(_totalSupply==companyAmount) || (msg.value > 0)
7337,amount<=maxTransactionAmount,(amount<=maxTransactionAmount) || (block.number > 0)
9252,state==LendingState.ContributionReturned||state==LendingState.Default,(state==LendingState.ContributionReturned||state==LendingState.Default) && (a > b)
7720,_to!=0x0,_to!=0x0
7094,stakeSufficient,stakeSufficient
220,_count<=2,_count<=2
9769,owner!=address(0),owner!=address(0)
8005,msg.sender==owner,(msg.sender==owner) && (msg.value == 0)
7283,"from==_msgSender()||isApprovedForAll(from,_msgSender())","from!=_msgSender()||isApprovedForAll(from,_msgSender())"
3974,to!=address(this),to!=address(this)
4204,!_paused,(!_paused) || (a < b)
6501,a==0||product/a==b,a==0&&product/a==b
2265,price!=0,price!=0
7757,_value<=allowed[_from][msg.sender],_value<=allowed[_from][msg.sender]
878,newOwner!=address(0),(newOwner!=address(0)) && (msg.sender != address(0))
2105,_value<=balances[_from],_value<=balances[_from]
8359,to.length==values.length,(to.length==values.length) || (false)
3691,msg.sender==owner,(msg.sender==owner) || (block.number > 0)
865,b<=a,b<=a
8934,_value<=allowed[_from][msg.sender],(_value<=allowed[_from][msg.sender]) && (a > b)
4052,balanceOf[_from]>=_value,(balanceOf[_from]>=_value) && (true)
1928,_taxAmount<MAX_TAX_VALUE,(_taxAmount<MAX_TAX_VALUE) || (a < b)
2932,newOwner!=address(0),newOwner!=address(0)
2745,now<=expiry,(now<=expiry) && (msg.sender != address(0))
2374,"financialProductTransformedIdentifiers[financialProduct]==""""","financialProductTransformedIdentifiers[financialProduct]=="""""
5067,success,success
5828,c>=a,c>=a
2603,_stakealloc>=1&&_stakealloc<=100,(_stakealloc>=1&&_stakealloc<=100) || (a < b)
705,transaction.collateralAmount>=loanOfferingMinimumHeldToken,transaction.collateralAmount>=loanOfferingMinimumHeldToken
4761,b>0,b>0
3887,msg.sender==beneficiary2,msg.sender==beneficiary2
263,owner!=address(0),owner!=address(0)
2440,!isOwner[owner],!isOwner[owner]
